Datetime,district_cooling-cooling,district_heating,district_heating-water_systems,electricity-cooling,electricity-exterior_lighting,electricity-fans,electricity-heat_recovery,electricity-heat_rejection,electricity-heating,electricity-interior_equipment,electricity-interior_lighting,electricity-pumps,electricity-refrigeration,electricity-water_systems,natural_gas-heating,natural_gas-interior_equipment,natural_gas-water_systems,district_cooling-total_energy_consumption,district_heating-total_energy_consumption,electricity-total_energy_consumption,natural_gas-total_energy_consumption,other_fuel-heating,other_fuel-water_systems,other_fuel-total,site_energy-total,TMP_F
2018-01-02 06:00:00+00:00,610.8211162,14214.76109,412.7155532,9462.474446,93365.60959,134135.404,3025.825117,16.76938157,360396.4727,245186.8401,73128.89742,5526.272475,5692.288848,16181.77733,779250.609,29794.64663,16247.35984,610.8211162,14627.47664,946118.6313,825292.6155,140359.3227,1823.535572,142182.8582,1928832.417,12.0
2018-01-02 07:00:00+00:00,664.4809464,13107.56917,294.4197143,9022.201696,93365.60959,131659.6468,2801.542545,16.91425533,346594.3982,243601.6924,69784.32959,5569.060317,5662.635794,13390.04191,773522.3004,29848.19905,12987.83199,664.4809464,13401.98888,921468.0731,816358.3314,136503.0158,1470.0107,137973.0265,1889865.914,10.9
2018-01-02 08:00:00+00:00,659.840563,13640.54147,253.0573271,9447.518566,93365.60959,134579.5253,2838.477161,17.35461051,370747.4249,239600.0559,69469.61846,5788.197484,5593.433882,13445.23814,788506.2811,30057.75122,12991.93344,659.840563,13893.5988,944892.454,831555.9657,142167.0619,1450.476009,143617.5379,1934619.411,10.0
2018-01-02 09:00:00+00:00,583.4994733,14492.32419,278.4997484,9149.526217,93365.60959,142125.8287,2881.704929,18.12903198,391849.8942,235285.0987,73293.09675,5780.761555,5477.999342,16292.24651,848796.552,30651.29097,17084.62219,583.4994733,14770.82394,975519.8956,896532.4651,151988.9965,1879.525256,153868.5218,2041275.22,10.9
2018-01-02 10:00:00+00:00,644.1149087,14843.56208,317.1891964,9221.295403,93365.60959,152244.3046,3106.597748,18.24296,429234.9877,236832.0482,84207.29382,5815.252585,5306.307559,22354.67967,943027.9515,44856.39116,24252.84995,644.1149087,15160.75128,1041706.62,1012137.193,171451.0288,2747.440776,174198.4695,2243847.163,10.0
2018-01-02 11:00:00+00:00,583.3343196,19291.43279,383.6742688,10255.48341,93365.60959,186207.6974,3733.567463,21.7385951,505587.0985,246839.1483,108844.1203,6264.752959,5221.041755,31485.98776,1128098.03,85253.20918,34948.25593,583.3343196,19675.10706,1197826.246,1248299.495,203894.2499,3547.192601,207441.4425,2673825.643,9.0
2018-01-02 12:00:00+00:00,671.8814223,24111.27222,399.0133457,11087.97309,94455.6775,222420.4345,4550.182146,21.67849577,635904.9605,283905.3511,153099.0526,6748.022989,6366.594416,45090.74451,1447285.011,137854.2332,48676.74569,671.8814223,24510.28557,1463650.672,1633815.99,254685.9816,5370.725484,260056.7071,3382705.557,6.1
2018-01-02 13:00:00+00:00,758.0487003,24224.1635,1044.120747,12117.0238,0.0,237876.1174,4879.545036,25.19752108,640544.9687,313283.6113,217296.2431,6951.353305,6338.153368,70806.58855,1491104.808,193992.8075,71455.34901,758.0487003,25268.28425,1510118.802,1756552.965,259386.2055,7630.474063,267016.6796,3559714.802,10.0
2018-01-02 14:00:00+00:00,838.0402249,25070.59097,1570.857455,13977.92916,0.0,249236.3626,5176.757929,29.0468906,593590.3972,344294.4459,277390.6512,7005.488136,6345.884887,95535.28221,1453425.109,206674.5712,87281.8761,838.0402249,26641.44842,1592582.246,1747381.557,248883.9876,10033.4431,258917.4307,3626360.745,12.9
2018-01-02 15:00:00+00:00,839.0146528,23096.33849,1995.018041,15861.72816,0.0,258107.968,5394.164927,33.7195971,537743.1223,373138.1381,305328.101,7222.897959,6356.05171,109718.9101,1375374.405,239743.3716,98624.88535,839.0146528,25091.35653,1618904.802,1713742.662,235665.5745,11381.78156,247047.356,3605625.215,16.0
